Line,Column,Level,Category,Name,CWEs,,,,,,,,
200,42,4,crypto,crypt,CWE-327,,,,,,,,
35,96,4,crypto,crypt,CWE-327,,,,,,,,
4594,76,4,race,access,CWE-362/CWE-367!,,,,,,,,
4609,73,4,race,access,CWE-362/CWE-367!,,,,,,,,
520,9,4,format,vprintf,CWE-134,,,,,,,,
43,21,4,format,printf,CWE-134,,,,,,,,
19,28,4,format,printf,CWE-134,,,,,,,,
1453,3,4,format,vfprintf,CWE-134,,,,,,,,
6089,5,4,format,vfprintf,CWE-134,,,,,,,,
1713,10,4,race,access,CWE-362/CWE-367!,,,,,,,,
1762,20,4,race,access,CWE-362/CWE-367!,,,,,,,,
1775,13,4,race,access,CWE-362/CWE-367!,,,,,,,,
1778,64,4,race,access,CWE-362/CWE-367!,,,,,,,,
1786,8,4,race,access,CWE-362/CWE-367!,   access & GENERIC_RIGHTS_MASK),,ed3568133fb7259455c838ad6e3e44eb84a40177d2de17a96b8f3299bbe227f7,,,,,
1788,92,4,race,access,CWE-362/CWE-367!,,,,,,,,
1794,8,4,race,access,CWE-362/CWE-367!,   access & STANDARD_RIGHTS_MASK),,c91b82bc73ff8899ab94c388cf4617e774b0d3d3cd88d79e26f833cbe77605ac,,,,,
1796,94,4,race,access,CWE-362/CWE-367!,,,,,,,,
1806,9,4,race,access,CWE-362/CWE-367!,,   access & SPECIFIC_RIGHTS_MASK),,05ae8ebddcd01dd2ed671ca3c7d2db918c2ef74c4a4258d9be2a82bcac1337f9,,,,
1810,9,4,race,access,CWE-362/CWE-367!,,   access & SPECIFIC_RIGHTS_MASK),,05ae8ebddcd01dd2ed671ca3c7d2db918c2ef74c4a4258d9be2a82bcac1337f9,,,,
1813,27,4,race,access,CWE-362/CWE-367!,ecb322376ed4d7138151ec8b70ff1035f34bfb3a2930152127bac36defe038ad,,,,,,,
1820,36,4,race,access,CWE-362/CWE-367!,,,,,,,,
1823,24,4,race,access,CWE-362/CWE-367!,,,,,,,,
1826,25,4,race,access,CWE-362/CWE-367!,,,,,,,,
1828,7,4,race,access,CWE-362/CWE-367!,,,,,,,,
1837,94,4,race,access,CWE-362/CWE-367!,,,,,,,,
5774,34,4,race,access,CWE-362/CWE-367!,,,,,,,,
219,14,4,shell,popen,CWE-78,,,,,,,,
1428,2,4,format,vprintf,CWE-134,,,,,,,,
1493,3,4,format,vfprintf,CWE-134,,,,,,,,
145,5,4,format,vprintf,CWE-134,,,,,,,,
1583,5,4,format,printf,CWE-134,,,,,,,,
427,9,4,format,fprintf,CWE-134,,,,,,,,
432,9,4,format,fprintf,CWE-134,,,,,,,,
596,13,4,shell,execlp,CWE-78,,,,,,,,
59,2,4,format,vfprintf,CWE-134,,,,,,,,
70,2,4,format,fprintf,CWE-134,,,,,,,,
98,2,4,format,vfprintf,CWE-134,,,,,,,,
85,3,4,format,vfprintf,CWE-134,,,,,,,,
95,3,4,format,vfprintf,CWE-134,,,,,,,,
126,3,4,format,vfprintf,CWE-134,,,,,,,,
154,33,4,format,fprintf,CWE-134,,,,,,,,
52,2,4,format,vfprintf,CWE-134,,,,,,,,
62,2,4,format,vfprintf,CWE-134,,,,,,,,
1427,5,4,format,vfprintf,CWE-134,,,,,,,,
1438,5,4,format,fprintf,CWE-134,,,,,,,,
1537,5,4,format,vfprintf,CWE-134,,,,,,,,
1547,5,4,format,vfprintf,CWE-134,,,,,,,,
77,21,4,format,printf,CWE-134,,,,,,,,
147,5,4,format,vfprintf,CWE-134,,,,,,,,
157,5,4,format,vfprintf,CWE-134,,,,,,,,
458,3,4,format,vfprintf,CWE-134,,,,,,,,
469,3,4,format,fprintf,CWE-134,,,,,,,,
499,3,4,format,vfprintf,CWE-134,,,,,,,,
2232,3,4,format,vfprintf,CWE-134,,,,,,,,
2243,3,4,format,fprintf,CWE-134,,,,,,,,
2273,3,4,format,vfprintf,CWE-134,,,,,,,,
34,12,4,race,access,CWE-362/CWE-367!,,,,,,,,
1506,3,4,format,vfprintf,CWE-134,,,,,,,,
3435,13,4,race,access,CWE-362/CWE-367!,,,,,,,,
3519,9,4,race,access,CWE-362/CWE-367!,,,,,,,,
3541,7,4,race,access,CWE-362/CWE-367!,,,,,,,,
3543,13,4,race,access,CWE-362/CWE-367!,,,,,,,,
551,10,4,format,fprintf,CWE-134,,,,,,,,
4453,3,4,format,vfprintf,CWE-134,,,,,,,,
4464,3,4,format,fprintf,CWE-134,,,,,,,,
4509,3,4,format,vfprintf,CWE-134,,,,,,,,
354,11,4,buffer,sscanf,"CWE-120, CWE-20",,,,,,,,
358,16,4,buffer,sscanf,"CWE-120, CWE-20",,,,,,,,
78,2,4,format,printf,CWE-134,,,,,,,,
91,2,4,format,printf,CWE-134,,,,,,,,
806,9,4,format,printf,CWE-134,,,,,,,,
810,9,4,format,printf,CWE-134,,,,,,,,
816,9,4,format,printf,CWE-134,,,,,,,,
821,9,4,format,printf,CWE-134,,,,,,,,
832,9,4,format,printf,CWE-134,,,,,,,,
1089,19,4,format,printf,CWE-134,,,,,,,,
1091,19,4,format,printf,CWE-134,,,,,,,,
1095,15,4,format,printf,CWE-134,,,,,,,,
1117,21,4,format,printf,CWE-134,,,,,,,,
1121,21,4,format,printf,CWE-134,,,,,,,,
1124,21,4,format,printf,CWE-134,,,,,,,,
1133,25,4,format,printf,CWE-134,,,,,,,,
1136,25,4,format,printf,CWE-134,,,,,,,,
1140,25,4,format,printf,CWE-134,,,,,,,,
1145,25,4,format,printf,CWE-134,,,,,,,,
1157,25,4,format,printf,CWE-134,,,,,,,,
1160,25,4,format,printf,CWE-134,,,,,,,,
1164,25,4,format,printf,CWE-134,,,,,,,,
1169,25,4,format,printf,CWE-134,,,,,,,,
1179,29,4,format,printf,CWE-134,,,,,,,,
1183,29,4,format,printf,CWE-134,,,,,,,,
1198,17,4,format,printf,CWE-134,,,,,,,,
81,2,4,format,printf,CWE-134,,,,,,,,
94,2,4,format,printf,CWE-134,,,,,,,,
68,6,4,format,printf,CWE-134,,,,,,,,
71,6,4,format,printf,CWE-134,,,,,,,,
74,6,4,format,printf,CWE-134,,,,,,,,
77,6,4,format,printf,CWE-134,,,,,,,,
80,6,4,format,printf,CWE-134,,,,,,,,
94,2,4,format,printf,CWE-134,,,,,,,,
106,2,4,format,printf,CWE-134,,,,,,,,
61,3,4,format,printf,CWE-134,,,,,,,,
114,5,4,format,fprintf,CWE-134,,,,,,,,
66,38,4,shell,system,CWE-78,,,,,,,,
180,5,4,format,vfprintf,CWE-134,,,,,,,,
197,5,4,format,vfprintf,CWE-134,,,,,,,,
66,14,4,format,vsprintf,CWE-134,,,,,,,,
2572,39,4,shell,system,CWE-78,,,,,,,,
58,31,4,shell,system,CWE-78,,,,,,,,
61,13,4,format,fprintf,CWE-134,,,,,,,,
67,13,4,format,fprintf,CWE-134,,,,,,,,
228,13,4,format,fprintf,CWE-134,,,,,,,,
1142,35,4,shell,system,CWE-78,,,,,,,,
180,5,4,format,fprintf,CWE-134,,,,,,,,
181,5,4,format,fprintf,CWE-134,,,,,,,,
182,5,4,format,fprintf,CWE-134,,,,,,,,
184,5,4,format,fprintf,CWE-134,,,,,,,,
188,5,4,format,fprintf,CWE-134,,,,,,,,
457,5,4,format,fprintf,CWE-134,,,,,,,,
572,17,4,format,fprintf,CWE-134,,,,,,,,
574,17,4,format,fprintf,CWE-134,,,,,,,,
709,5,4,format,fprintf,CWE-134,,,,,,,,
710,5,4,format,fprintf,CWE-134,,,,,,,,
711,5,4,format,fprintf,CWE-134,,,,,,,,
713,5,4,format,fprintf,CWE-134,,,,,,,,
727,9,4,format,fprintf,CWE-134,,,,,,,,
733,9,4,format,fprintf,CWE-134,,,,,,,,
738,5,4,format,fprintf,CWE-134,,,,,,,,
742,5,4,format,fprintf,CWE-134,,,,,,,,
768,5,4,format,fprintf,CWE-134,,,,,,,,
875,5,4,format,fprintf,CWE-134,,,,,,,,
893,9,4,format,fprintf,CWE-134,,,,,,,,
899,9,4,format,fprintf,CWE-134,,,,,,,,
910,5,4,format,fprintf,CWE-134,,,,,,,,
916,5,4,format,fprintf,CWE-134,,,,,,,,
925,9,4,format,fprintf,CWE-134,,,,,,,,
931,5,4,format,fprintf,CWE-134,,,,,,,,
937,5,4,format,fprintf,CWE-134,,,,,,,,
54,5,4,format,vfprintf,CWE-134,,,,,,,,
637,21,4,race,access,CWE-362/CWE-367!,,,,,,,,
340,5,4,format,vfprintf,CWE-134,,,,,,,,
33,5,4,format,vsnprintf,CWE-134,,,,,,,,
72,29,4,format,printf,CWE-134,,,,,,,,
1601,17,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
138,17,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
5009,19,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
1173,19,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
1574,9,3,random,srand,CWE-327,,,,,,,,
2070,29,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
2071,26,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
327,26,3,random,setstate,CWE-327,,,,,,,,
203,6,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
209,6,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
299,7,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
84,21,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
649,27,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
117,7,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
179,20,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
30,9,3,random,g_random_int,CWE-327,,,,,,,,
34,16,3,random,g_random_int,CWE-327,,,,,,,,
35,16,3,random,g_random_int,CWE-327,,,,,,,,
79,11,3,random,g_random_int_range,CWE-327,,,,,,,,
87,26,3,random,g_random_int_range,CWE-327,,,,,,,,
1237,17,3,random,g_random_int_range,CWE-327,,,,,,,,
1239,26,3,random,g_random_int_range,CWE-327,,,,,,,,
2590,22,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
591,19,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
530,19,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
201,19,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
388,19,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
429,19,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
413,19,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
193,3,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
205,27,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
282,17,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
3228,20,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
3229,20,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
149,16,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
589,17,3,random,g_rand_int_range,CWE-327,,,,,,,,
609,30,3,random,g_rand_int_range,CWE-327,,,,,,,,
614,21,3,random,g_rand_double,CWE-327,8af695123ecea304d92a6580606d3bffbd0cd1b52acba41b666e6203cef764f0,,,,,,,
618,17,3,random,g_rand_int_range,CWE-327,,,,,,,,
710,19,3,random,g_random_int_range,CWE-327,,,,,,,,
537,19,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
222,19,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
1461,17,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
410,17,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
594,17,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
3418,16,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
605,34,3,buffer,g_get_tmp_dir,"CWE-807, CWE-20",,,,,,,,
849,17,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
1100,17,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
258,19,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
400,46,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
404,19,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
197,46,3,buffer,g_get_tmp_dir,"CWE-807, CWE-20",,,,,,,,
70,46,3,random,g_rand_int_range,CWE-327,,,,,,,,
161,16,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
173,23,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
182,23,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
192,23,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
97,26,3,misc,LoadLibrary,"CWE-829, CWE-20",,,,,,,,
380,12,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
1311,21,3,random,g_rand_int,CWE-327,,,,,,,,
1311,67,3,random,g_rand_int,CWE-327,,,,,,,,
2044,12,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
184,14,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
827,24,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
828,16,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
341,25,3,buffer,realpath,CWE-120/CWE-785!,,,,,,,,
1000,40,3,buffer,g_get_home_dir,"CWE-807, CWE-20",,,,,,,,
148,9,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
149,14,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
292,46,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,,
1197,1,3,buffer,getopt,"CWE-120, CWE-20",,,,,,,,
1208,1,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
1244,11,3,buffer,getopt,"CWE-120, CWE-20",,,,,,,,
209,25,3,misc,LoadLibrary,"CWE-829, CWE-20",,,,,,,,
131,19,3,buffer,getopt,"CWE-120, CWE-20",,,,,,,,
140,30,3,buffer,getopt,"CWE-120, CWE-20",,,,,,,,
146,12,3,buffer,getopt,"CWE-120, CWE-20",,,,,,,,
150,19,3,buffer,getopt,"CWE-120, CWE-20",,,,,,,,
155,19,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,,
55,21,2,buffer,memcpy,CWE-120,,,,,,,,
357,17,2,buffer,memcpy,CWE-120,,,,,,,,
217,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
220,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
265,13,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
272,13,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
279,13,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
286,13,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
293,13,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
300,13,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
307,13,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
315,9,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
322,9,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
354,13,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
375,13,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
398,13,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
409,13,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
665,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
1571,9,2,buffer,memcpy,CWE-120,,,,,,,,
1610,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
1871,12,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
808,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
39,36,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
46,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
52,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
74,36,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
569,3,2,buffer,memcpy,CWE-120,,,,,,,,
602,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
611,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
666,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
1172,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
1273,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
1378,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
1410,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
1465,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
1530,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
71,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
237,14,2,buffer,MultiByteToWideChar,CWE-120,,,,,,,,
239,2,2,buffer,MultiByteToWideChar,CWE-120,,,,,,,,
555,12,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
799,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
257,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
262,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
458,3,2,buffer,char,CWE-119!/CWE-120,66f436a09e489a4215b0a59f25aa890b0bcfa4c89531181211ded481ef9aacdd,,,,,,,
631,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
1177,3,2,buffer,TCHAR,CWE-119!/CWE-120,cffa5f6b822e3000479f1c6f83e3b4373b9055d338611b36ded99666b28c100d,,,,,,,
685,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
686,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
782,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
901,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
1977,5,2,buffer,memcpy,CWE-120,,,,,,,,
2111,9,2,buffer,memcpy,CWE-120,,,,,,,,
2113,13,2,buffer,memcpy,CWE-120,,,,,,,,
2142,9,2,buffer,memcpy,CWE-120,,,,,,,,
2150,9,2,buffer,memcpy,CWE-120,,,,,,,,
2174,9,2,buffer,memcpy,CWE-120,,,,,,,,
2490,9,2,buffer,memcpy,CWE-120,,,,,,,,
2949,9,2,buffer,memcpy,CWE-120,,,,,,,,
3648,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
3767,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
3768,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
4519,5,2,buffer,memcpy,CWE-120,,,,,,,,
4579,5,2,buffer,memcpy,CWE-120,,,,,,,,
5515,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
5568,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
1296,17,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
166,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
167,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
173,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
174,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
175,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
182,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
183,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
190,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
197,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
558,17,2,buffer,memcpy,CWE-120,,,,,,,,
561,17,2,buffer,memcpy,CWE-120,,,,,,,,
575,17,2,buffer,memcpy,CWE-120,,,,,,,,
579,17,2,buffer,memcpy,CWE-120,,,,,,,,
732,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
881,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
1113,5,2,buffer,memcpy,CWE-120,,,,,,,,
1136,9,2,buffer,memcpy,CWE-120,,,,,,,,
1477,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
1529,5,2,buffer,memcpy,CWE-120,,,,,,,,
1559,5,2,buffer,memcpy,CWE-120,,,,,,,,
1987,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
2141,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
2236,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
2338,13,2,buffer,memcpy,CWE-120,,,,,,,,
2444,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
2702,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
3026,9,2,buffer,memcpy,CWE-120,,,,,,,,
3445,9,2,buffer,memcpy,CWE-120,,,,,,,,
3667,5,2,buffer,memcpy,CWE-120,,,,,,,,
80,5,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
224,5,2,buffer,memcpy,CWE-120,,,,,,,,
262,5,2,buffer,memcpy,CWE-120,,,,,,,,
366,9,2,buffer,memcpy,CWE-120,,,,,,,,
767,9,2,buffer,memcpy,CWE-120,,,,,,,,
78,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
89,3,2,buffer,char,CWE-119!/CWE-120,2a40c2a7f226802b3e474c903809316f0eef0734e7a803bf498df84d2f9da6ca,,,,,,,
427,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
449,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
550,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
593,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,,
305,13,2,buffer,memcpy,CWE-120,,,,,,,,
309,9,2,buffer,memcpy,CWE-120,,,,,,,,
426,5,2,buffer,memcpy,CWE-120,,,,,,,,
428,5,2,buffer,memcpy,CWE-120,,,,,,,,
446,13,2,buffer,memcpy,CWE-120,,,,,,,,
449,13,2,buffer,memcpy,CWE-120,,,,,,,,
452,13,2,buffer,memcpy,CWE-120,,,,,,,,
453,13,2,buffer,memcpy,CWE-120,,,,,,,,
482,5,2,buffer,memcpy,CWE-120,,,,,,,,
483,5,2,buffer,memcpy,CWE-120,,,,,,,,
553,9,2,buffer,memcpy,CWE-120,,,,,,,,
554,9,2,buffer,memcpy,CWE-120,,,,,,,,
560,9,2,buffer,memcpy,CWE-120,,,,,,,,
780,9,2,buffer,memcpy,CWE-120,,,,,,,,
781,9,2,buffer,memcpy,CWE-120,,,,,,,,
783,9,2,buffer,memcpy,CWE-120,,,,,,,,
784,9,2,buffer,memcpy,CWE-120,,,,,,,,
839,5,2,buffer,memcpy,CWE-120,,,,,,,,
840,5,2,buffer,memcpy,CWE-120,,,,,,,,
862,5,2,buffer,memcpy,CWE-120,,,,,,,,
912,5,2,buffer,memcpy,CWE-120,,,,,,,,
913,5,2,buffer,memcpy,CWE-120,,,,,,,,
994,17,2,buffer,memcpy,CWE-120,,,,,,,,
999,17,2,buffer,memcpy,CWE-120,,,,,,,,
1074,5,2,buffer,memcpy,CWE-120,,,,,,,,
1097,13,2,buffer,memcpy,CWE-120,,,,,,,,
1158,13,2,buffer,memcpy,CWE-120,,,,,,,,
1218,5,2,buffer,memcpy,CWE-120,,,,,,,,
1318,8,2,buffer,memcpy,CWE-120,,,,,,,,
1418,5,2,buffer,memcpy,CWE-120,,,,,,,,
1477,13,2,buffer,memcpy,CWE-120,,,,,,,,
1480,13,2,buffer,memcpy,CWE-120,,,,,,,,
1482,13,2,buffer,memcpy,CWE-120,,,,,,,,
1490,17,2,buffer,memcpy,CWE-120,,,,,,,,
1509,17,2,buffer,memcpy,CWE-120,,,,,,,,
1608,9,2,buffer,memcpy,CWE-120,,,,,,,,
1671,21,2,buffer,memcpy,CWE-120,,,,,,,,
