Line,Column,Level,Category,Name,CWEs,,,,,,,
245,16,4,format,snprintf,CWE-134,,,,,,,
249,16,4,format,vsnprintf,CWE-134,,,,,,,
282,9,4,race,access,CWE-362/CWE-367!,,,,,,,
296,9,4,format,snprintf,CWE-134,,,,,,,
296,18,4,format,_snprintf,CWE-134,,,,,,,
301,9,4,shell,execv,CWE-78,,,,,,,
425,30,4,format,printf,CWE-134,,,,,,,
427,30,4,format,printf,CWE-134,,,,,,,
432,30,4,format,printf,CWE-134,,,,,,,
72,27,4,format,printf,CWE-134,,,,,,,
79,3,4,format,vfprintf,CWE-134,,,,,,,
751,12,4,race,access,CWE-362/CWE-367!,,,,,,,
128,9,4,format,vsnprintf,CWE-134,,,,,,,
177,9,4,format,vsnprintf,CWE-134,,,,,,,
485,1,4,format,snprintf,CWE-134,,,,,,,
491,9,4,format,vsnprintf,CWE-134,,,,,,,
502,12,4,format,vsprintf,CWE-134,,,,,,,
579,12,4,format,vsprintf,CWE-134,,,,,,,
609,12,4,format,vsprintf,CWE-134,,,,,,,
625,1,4,format,vsnprintf,CWE-134,,,,,,,
584,5,4,buffer,strcpy,CWE-120,,,,,,,
602,9,4,buffer,strcpy,CWE-120,,,,,,,
1045,37,4,race,access,CWE-362/CWE-367!,,,,,,,
174,13,4,shell,execl,CWE-78,,,,,,,
183,13,4,shell,execv,CWE-78,,,,,,,
132,5,4,format,vfprintf,CWE-134,,,,,,,
144,5,4,format,vfprintf,CWE-134,,,,,,,
155,5,4,format,vfprintf,CWE-134,,,,,,,
166,5,4,format,vfprintf,CWE-134,,,,,,,
197,5,4,format,vfprintf,CWE-134,,,,,,,
92,30,4,format,printf,CWE-134,,,,,,,
94,30,4,format,printf,CWE-134,,,,,,,
96,30,4,format,printf,CWE-134,,,,,,,
98,30,4,format,printf,CWE-134,,,,,,,
111,30,4,format,printf,CWE-134,,,,,,,
121,30,4,format,printf,CWE-134,,,,,,,
970,9,4,buffer,sscanf,"CWE-120, CWE-20",,,,,,,
998,9,4,buffer,sscanf,"CWE-120, CWE-20",,,,,,,
92,30,4,format,printf,CWE-134,,,,,,,
94,30,4,format,printf,CWE-134,,,,,,,
97,30,4,format,printf,CWE-134,,,,,,,
99,30,4,format,printf,CWE-134,,,,,,,
101,5,4,format,vfprintf,CWE-134,,,,,,,
145,5,4,format,vfprintf,CWE-134,,,,,,,
186,5,4,format,vfprintf,CWE-134,,,,,,,
209,3,4,format,vfprintf,CWE-134,,,,,,,
225,3,4,format,vfprintf,CWE-134,,,,,,,
241,3,4,format,vfprintf,CWE-134,,,,,,,
89,30,4,format,printf,CWE-134,,,,,,,
92,30,4,format,printf,CWE-134,,,,,,,
96,30,4,format,printf,CWE-134,,,,,,,
99,27,4,format,printf,CWE-134,,,,,,,
102,27,4,format,printf,CWE-134,,,,,,,
105,27,4,format,printf,CWE-134,,,,,,,
840,5,4,buffer,sprintf,CWE-120,,,,,,,
841,5,4,buffer,sprintf,CWE-120,,,,,,,
844,5,4,buffer,sprintf,CWE-120,,,,,,,
845,5,4,buffer,sprintf,CWE-120,,,,,,,
848,5,4,buffer,sprintf,CWE-120,,,,,,,
851,5,4,buffer,sprintf,CWE-120,,,,,,,
854,5,4,buffer,sprintf,CWE-120,,,,,,,
151,15,4,shell,ShellExecute,CWE-78,,,,,,,
37,7,4,format,printf,CWE-134,,,,,,,
232,5,4,buffer,sprintf,CWE-120,,,,,,,
59,9,4,format,snprintf,CWE-134,,,,,,,
60,9,4,format,vsnprintf,CWE-134,,,,,,,
64,4,4,format,vfprintf,CWE-134,,,,,,,
69,3,4,format,vfprintf,CWE-134,,,,,,,
81,3,4,format,vfprintf,CWE-134,,,,,,,
86,27,4,format,printf,CWE-134,,,,,,,
89,27,4,format,printf,CWE-134,,,,,,,
164,5,4,buffer,sprintf,CWE-120,,,,,,,
169,3,4,buffer,sprintf,CWE-120,,,,,,,
116,50,4,format,printf,CWE-134,,,,,,,
123,7,4,format,printf,CWE-134,,,,,,,
126,5,4,format,printf,CWE-134,,,,,,,
737,9,4,buffer,strcpy,CWE-120,,,,,,,
956,9,4,format,vfprintf,CWE-134,,,,,,,
961,9,4,format,vfprintf,CWE-134,,,,,,,
151,30,4,format,printf,CWE-134,,,,,,,
67,65,4,format,printf,CWE-134,,,,,,,
68,69,4,format,printf,CWE-134,,,,,,,
69,78,4,format,printf,CWE-134,,,,,,,
85,83,4,format,printf,CWE-134,,,,,,,
219,7,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
221,12,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
28,18,3,random,random,CWE-327,,,,,,,
29,20,3,random,srandom,CWE-327,,,,,,,
33,20,3,random,srand,CWE-327,,,,,,,
294,22,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
296,12,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
131,33,3,tmpfile,tmpnam,CWE-377,,,,,,,
178,21,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
537,22,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
540,12,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
4670,53,3,random,random,CWE-327,,,,,,,
4675,7,3,random,random,CWE-327,,,,,,,
537,53,3,random,random,CWE-327,,,,,,,
58,5,3,misc,chroot,"CWE-250, CWE-22",,,,,,,
90,5,3,buffer,getopt,"CWE-120, CWE-20",,,,,,,
107,7,3,buffer,getwd,"CWE-120, CWE-20",,,,,,,
128,6,3,random,random,CWE-327,,,,,,,
162,6,3,random,srandom,CWE-327,,,,,,,
26,5,3,buffer,getopt,"CWE-120, CWE-20",,,,,,,
59,1,3,buffer,getopt,"CWE-120, CWE-20",,,,,,,
7,12,3,buffer,getopt,"CWE-120, CWE-20",,,,,,,
934,12,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
948,12,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
807,6,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
968,9,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
262,12,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
264,17,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
288,12,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
369,12,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
296,13,3,misc,LoadLibrary,"CWE-829, CWE-20",,,,,,,
154,16,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
402,11,3,random,setstate,CWE-327,,,,,,,
413,11,3,random,setstate,CWE-327,,,,,,,
423,11,3,random,setstate,CWE-327,,,,,,,
457,11,3,random,setstate,CWE-327,,,,,,,
468,11,3,random,setstate,CWE-327,,,,,,,
478,11,3,random,setstate,CWE-327,,,,,,,
112,9,3,random,srand,CWE-327,,,,,,,
141,15,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
67,6,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
163,6,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
288,5,3,buffer,getopt,"CWE-120, CWE-20",,,,,,,
294,5,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,
48,12,3,buffer,getopt,"CWE-120, CWE-20",,,,,,,
70,12,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,
994,30,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
1004,33,3,tmpfile,tempnam,CWE-377,,,,,,,
252,9,3,shell,CreateProcess,CWE-78,,,,,,,
252,9,3,shell,CreateProcess,CWE-78,,,,,,,
287,15,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
317,17,3,buffer,getopt_long,"CWE-120, CWE-20",,,,,,,
766,24,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
2617,36,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
137,7,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
137,36,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
139,12,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
139,43,3,buffer,getenv,"CWE-807, CWE-20",,,,,,,
799,5,3,random,srand,CWE-327,,,,,,,
154,6,3,shell,CreateProcess,CWE-78,,,,,,,
154,6,3,shell,CreateProcess,CWE-78,,,,,,,
71,3,3,random,srand,CWE-327,,,,,,,
345,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
621,10,2,buffer,char,CWE-119!/CWE-120,,,,,,,
623,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
1704,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
2498,3,2,buffer,memcpy,CWE-120,,,,,,,
2499,3,2,buffer,memcpy,CWE-120,,,,,,,
2714,3,2,buffer,memcpy,CWE-120,,,,,,,
133,10,2,buffer,char,CWE-119!/CWE-120,,,,,,,
187,10,2,buffer,char,CWE-119!/CWE-120,,,,,,,
88,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
90,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
101,8,2,misc,fopen,CWE-362,,,,,,,
153,5,2,buffer,memcpy,CWE-120,,,,,,,
171,3,2,buffer,memcpy,CWE-120,,,,,,,
189,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
596,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
613,3,2,buffer,memcpy,CWE-120,,,,,,,
168,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
142,5,2,buffer,memcpy,CWE-120,,,,,,,
164,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
230,7,2,buffer,memcpy,CWE-120,,,,,,,
242,11,2,buffer,memcpy,CWE-120,,,,,,,
215,3,2,buffer,memcpy,CWE-120,,,,,,,
235,3,2,buffer,memcpy,CWE-120,,,,,,,
274,5,2,buffer,memcpy,CWE-120,,,,,,,
288,3,2,buffer,memcpy,CWE-120,,,,,,,
381,5,2,buffer,memcpy,CWE-120,,,,,,,
407,3,2,buffer,memcpy,CWE-120,,,,,,,
464,3,2,buffer,memcpy,CWE-120,,,,,,,
471,3,2,buffer,memcpy,CWE-120,,,,,,,
478,3,2,buffer,memcpy,CWE-120,,,,,,,
291,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
292,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
298,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
299,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
674,7,2,buffer,memcpy,CWE-120,,,,,,,
73,8,2,buffer,char,CWE-119!/CWE-120,,,,,,,
286,15,2,buffer,char,CWE-119!/CWE-120,,,,,,,
362,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
365,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
436,3,2,buffer,memcpy,CWE-120,,,,,,,
461,3,2,buffer,memcpy,CWE-120,,,,,,,
489,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
490,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
616,5,2,buffer,memcpy,CWE-120,,,,,,,
617,5,2,buffer,memcpy,CWE-120,,,,,,,
1024,5,2,buffer,memcpy,CWE-120,,,,,,,
1025,5,2,buffer,memcpy,CWE-120,,,,,,,
1342,10,2,buffer,char,CWE-119!/CWE-120,,,,,,,
1347,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
1402,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
15,2,2,buffer,char,CWE-119!/CWE-120,fa41af0ca18bdc5aa23a73c415f6a6c011de734436cb3e885ac5b8151883e461,,,,,,
21,2,2,buffer,char,CWE-119!/CWE-120,485c149755468ca6dd6e4bc5cf9c57fcb59205c3a0e205b17ab9e1b673a75c7a,,,,,,
18,2,2,buffer,char,CWE-119!/CWE-120,/* interface name */,26478e1af481f5618bf4298447fc096e22d16b9b69bc49a65260413b10cac1ed,,,,,
230,15,2,buffer,sprintf,CWE-120,,,,,,,
96,3,2,buffer,memcpy,CWE-120,,,,,,,
137,3,2,buffer,memcpy,CWE-120,,,,,,,
152,5,2,buffer,sprintf,CWE-120,,,,,,,
159,5,2,buffer,sprintf,CWE-120,,,,,,,
175,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
213,3,2,buffer,memcpy,CWE-120,,,,,,,
233,9,2,buffer,char,CWE-119!/CWE-120,,,,,,,
264,3,2,buffer,memcpy,CWE-120,,,,,,,
272,3,2,buffer,memcpy,CWE-120,,,,,,,
282,3,2,buffer,memcpy,CWE-120,,,,,,,
317,3,2,buffer,memcpy,CWE-120,,,,,,,
330,3,2,buffer,memcpy,CWE-120,,,,,,,
337,3,2,buffer,memcpy,CWE-120,,,,,,,
344,3,2,buffer,memcpy,CWE-120,,,,,,,
55,18,2,misc,open,CWE-362,,,,,,,
61,16,2,misc,open,CWE-362,,,,,,,
63,16,2,misc,open,CWE-362,,,,,,,
118,2,2,buffer,memcpy,CWE-120,,,,,,,
213,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
216,12,2,misc,fopen,CWE-362,,,,,,,
327,5,2,buffer,memcpy,CWE-120,,,,,,,
378,3,2,buffer,memcpy,CWE-120,,,,,,,
449,12,2,misc,open,CWE-362,,,,,,,
46,2,2,buffer,memcpy,CWE-120,,,,,,,
129,3,2,buffer,memcpy,CWE-120,,,,,,,
111,2,2,buffer,memcpy,CWE-120,,,,,,,
122,3,2,buffer,memcpy,CWE-120,,,,,,,
135,3,2,buffer,memcpy,CWE-120,,,,,,,
147,4,2,buffer,memcpy,CWE-120,,,,,,,
36,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
43,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
54,12,2,misc,open,CWE-362,,,,,,,
135,2,2,buffer,memcpy,CWE-120,,,,,,,
157,2,2,buffer,memcpy,CWE-120,,,,,,,
99,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
137,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
145,15,2,misc,open,CWE-362,,,,,,,
159,8,2,integer,atoi,CWE-190,,,,,,,
162,15,2,misc,open,CWE-362,,,,,,,
164,16,2,misc,open,CWE-362,,,,,,,
166,17,2,misc,open,CWE-362,,,,,,,
241,3,2,buffer,memcpy,CWE-120,,,,,,,
242,3,2,buffer,memcpy,CWE-120,,,,,,,
245,3,2,buffer,memcpy,CWE-120,,,,,,,
246,3,2,buffer,memcpy,CWE-120,,,,,,,
284,2,2,buffer,memcpy,CWE-120,,,,,,,
300,2,2,buffer,memcpy,CWE-120,,,,,,,
102,2,2,buffer,memcpy,CWE-120,,,,,,,
113,2,2,buffer,memcpy,CWE-120,,,,,,,
26,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
100,4,2,buffer,memcpy,CWE-120,,,,,,,
30,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
56,2,2,buffer,memcpy,CWE-120,,,,,,,
66,2,2,buffer,memcpy,CWE-120,,,,,,,
74,2,2,buffer,memcpy,CWE-120,,,,,,,
86,2,2,buffer,memcpy,CWE-120,,,,,,,
59,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
136,3,2,buffer,memcpy,CWE-120,,,,,,,
150,2,2,buffer,memcpy,CWE-120,,,,,,,
166,3,2,buffer,memcpy,CWE-120,,,,,,,
260,9,2,buffer,char,CWE-119!/CWE-120,,,,,,,
384,6,2,integer,atoi,CWE-190,,,,,,,
551,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
83,2,2,buffer,char,CWE-119!/CWE-120,a93ff4290022dbd6b3a0d95c05f1d34bccbac0e68a7496c002537997b3bc3952,,,,,,
358,3,2,buffer,memcpy,CWE-120,,,,,,,
661,4,2,buffer,memcpy,CWE-120,,,,,,,
726,4,2,buffer,memcpy,CWE-120,,,,,,,
773,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
776,12,2,misc,fopen,CWE-362,,,,,,,
819,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
850,4,2,buffer,memcpy,CWE-120,,,,,,,
852,4,2,buffer,memcpy,CWE-120,,,,,,,
861,2,2,buffer,memcpy,CWE-120,,,,,,,
906,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
911,12,2,misc,fopen,CWE-362,,,,,,,
958,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
1034,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
29,2,2,buffer,char,CWE-119!/CWE-120,,15693e442ea6b7ec7f1a65aa05668e2f649a1e636b941c7b3e1ec140e300190b,,,,,
194,3,2,buffer,memcpy,CWE-120,,,,,,,
201,4,2,buffer,memcpy,CWE-120,,,,,,,
218,2,2,buffer,memcpy,CWE-120,,,,,,,
82,12,2,misc,open,CWE-362,,,,,,,
83,12,2,misc,open,CWE-362,,,,,,,
194,4,2,buffer,memcpy,CWE-120,,,,,,,
195,4,2,buffer,memcpy,CWE-120,,,,,,,
196,4,2,buffer,memcpy,CWE-120,,,,,,,
97,33,2,buffer,char,CWE-119!/CWE-120,,,,,,,
176,4,2,buffer,char,CWE-119!/CWE-120,b61c89e5465703ed0d9ef897d7f5e3d819159de679e87a5f088be0d2419ddc59,,,,,,
196,19,2,misc,open,CWE-362,,,,,,,
200,16,2,misc,open,CWE-362,,,,,,,
348,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
665,12,2,misc,open,CWE-362,,,,,,,
106,3,2,buffer,memcpy,CWE-120,,,,,,,
122,2,2,buffer,memcpy,CWE-120,,,,,,,
161,3,2,buffer,memcpy,CWE-120,,,,,,,
163,3,2,buffer,memcpy,CWE-120,,,,,,,
201,4,2,buffer,memcpy,CWE-120,,,,,,,
204,4,2,buffer,char,CWE-119!/CWE-120,d34a8119f71ac232b5278881555ce874c5a9cbb3262aba2dfde7c1dae7662213,,,,,,
228,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
229,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
232,12,2,misc,fopen,CWE-362,,,,,,,
262,24,2,misc,fopen,CWE-362,,,,,,,
263,3,2,buffer,char,CWE-119!/CWE-120,,,,,,,
36,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
58,18,2,misc,open,CWE-362,,,,,,,
44,17,2,misc,open,CWE-362,,,,,,,
36,2,2,buffer,char,CWE-119!/CWE-120,43e2132b7dbacb8d9b31b2ad5afc73fc06de3c987266c2e91d91b7c7a7fa0514,,,,,,
43,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
51,17,2,misc,open,CWE-362,,,,,,,
54,20,2,misc,open,CWE-362,,,,,,,
60,20,2,misc,open,CWE-362,,,,,,,
19,2,2,buffer,memcpy,CWE-120,,,,,,,
35,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
2173,13,2,misc,fopen,CWE-362,,,,,,,
2208,13,2,misc,fopen,CWE-362,,,,,,,
2221,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
177,32,2,integer,atoi,CWE-190,,69c9865edb0992482344c841329613f64fdc6237cdaed669b8de7bd7f0e945d5,,,,,
189,10,2,misc,fopen,CWE-362,,,,,,,
196,11,2,misc,fopen,CWE-362,,,,,,,
87,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
88,2,2,buffer,char,CWE-119!/CWE-120,,,,,,,
164,25,2,integer,atoi,CWE-190,,ec954083a77697b930f95488f5d59f755b76f4f38947818e65edd223f2e6d106,,,,,
183,45,2,integer,atoi,CWE-190,,cd11e228c3e90b9b1311dcfd90afe693c953c5946dcea6ceae4fb3bcf7123faf,,,,,
